service_id,date,exception_type
110-26101,20170427,1
110-26101,20170502,1
110-26101,20170504,1
110-26101,20170509,1
110-26101,20170511,1
110-26101,20170516,1
110-26101,20170518,1
110-26101,20170523,1
110-26101,20170525,1
110-26101,20170530,1
110-26101,20170601,1
110-26104,20170114,1
110-26104,20170121,1
110-26104,20170128,1
110-26104,20170204,1
110-26104,20170211,1
110-26104,20170218,1
110-26104,20170225,1
110-26104,20170304,1
110-26104,20170311,1
110-26104,20170318,1
110-26104,20170325,1
110-26104,20170401,1
110-26104,20170408,1
110-26104,20170415,1
110-26104,20170422,1
110-26104,20170429,1
110-26104,20170506,1
110-26104,20170513,1
110-26104,20170520,1
110-26104,20170527,1
110-26104,20170603,1
110-26201,20170109,1
110-26201,20170111,1
110-26201,20170113,1
110-26201,20170118,1
110-26201,20170120,1
110-26201,20170123,1
110-26201,20170125,1
110-26201,20170127,1
110-26201,20170130,1
110-26201,20170201,1
110-26201,20170203,1
110-26201,20170206,1
110-26201,20170208,1
110-26201,20170210,1
110-26201,20170213,1
110-26201,20170215,1
110-26201,20170217,1
110-26201,20170220,1
110-26201,20170222,1
110-26201,20170224,1
110-26201,20170227,1
110-26201,20170301,1
110-26201,20170303,1
110-26201,20170306,1
110-26201,20170308,1
110-26201,20170310,1
110-26201,20170313,1
110-26201,20170315,1
110-26201,20170317,1
110-26201,20170320,1
110-26201,20170322,1
110-26201,20170324,1
110-26201,20170327,1
110-26201,20170329,1
110-26201,20170331,1
110-26201,20170403,1
110-26201,20170405,1
110-26201,20170407,1
110-26201,20170410,1
110-26201,20170412,1
110-26201,20170414,1
110-26201,20170417,1
110-26201,20170419,1
110-26201,20170421,1
110-26201,20170424,1
110-26201,20170426,1
110-26201,20170428,1
110-26201,20170501,1
110-26201,20170503,1
110-26201,20170505,1
110-26201,20170508,1
110-26201,20170510,1
110-26201,20170512,1
110-26201,20170515,1
110-26201,20170517,1
110-26201,20170519,1
110-26201,20170522,1
110-26201,20170524,1
110-26201,20170526,1
110-26201,20170531,1
110-26201,20170602,1
110-26204,20170116,1
110-29504,20170116,1
110-29601,20170113,1
110-29601,20170120,1
110-29601,20170127,1
110-29601,20170203,1
110-29601,20170210,1
110-29601,20170217,1
110-29601,20170224,1
110-29601,20170303,1
110-29601,20170310,1
110-29601,20170317,1
110-29601,20170324,1
110-29601,20170331,1
110-29601,20170407,1
110-29601,20170414,1
110-29601,20170421,1
110-29601,20170428,1
110-29601,20170505,1
110-29601,20170512,1
110-29601,20170519,1
110-29601,20170526,1
110-29601,20170602,1
110-29701,20170109,1
110-29701,20170110,1
110-29701,20170111,1
110-29701,20170112,1
110-29701,20170117,1
110-29701,20170118,1
110-29701,20170119,1
110-29701,20170123,1
110-29701,20170124,1
110-29701,20170125,1
110-29701,20170126,1
110-29701,20170130,1
110-29701,20170131,1
110-29701,20170201,1
110-29701,20170202,1
110-29701,20170206,1
110-29701,20170207,1
110-29701,20170208,1
110-29701,20170209,1
110-29701,20170213,1
110-29701,20170214,1
110-29701,20170215,1
110-29701,20170216,1
110-29701,20170220,1
110-29701,20170221,1
110-29701,20170222,1
110-29701,20170223,1
110-29701,20170227,1
110-29701,20170228,1
110-29701,20170301,1
110-29701,20170302,1
110-29701,20170306,1
110-29701,20170307,1
110-29701,20170308,1
110-29701,20170309,1
110-29701,20170313,1
110-29701,20170314,1
110-29701,20170315,1
110-29701,20170316,1
110-29701,20170320,1
110-29701,20170321,1
110-29701,20170322,1
110-29701,20170323,1
110-29701,20170327,1
110-29701,20170328,1
110-29701,20170329,1
110-29701,20170330,1
110-29701,20170403,1
110-29701,20170404,1
110-29701,20170405,1
110-29701,20170406,1
110-29701,20170410,1
110-29701,20170411,1
110-29701,20170412,1
110-29701,20170413,1
110-29701,20170417,1
110-29701,20170418,1
110-29701,20170419,1
110-29701,20170420,1
110-29701,20170424,1
110-29701,20170425,1
110-29701,20170426,1
110-29701,20170427,1
110-29701,20170501,1
110-29701,20170502,1
110-29701,20170503,1
110-29701,20170504,1
110-29701,20170508,1
110-29701,20170509,1
110-29701,20170510,1
110-29701,20170511,1
110-29701,20170515,1
110-29701,20170516,1
110-29701,20170517,1
110-29701,20170518,1
110-29701,20170522,1
110-29701,20170523,1
110-29701,20170524,1
110-29701,20170525,1
110-29701,20170530,1
110-29701,20170531,1
110-29701,20170601,1
110-31404,20170422,1
110-31505,20170122,1
110-31505,20170129,1
110-31505,20170205,1
110-31505,20170212,1
110-31505,20170219,1
110-31505,20170226,1
110-31505,20170305,1
110-31505,20170326,1
110-31505,20170402,1
110-31505,20170409,1
110-31505,20170416,1
110-31505,20170423,1
110-31505,20170430,1
110-31505,20170507,1
110-31505,20170514,1
